,NDOI,smscg,tide
7/29/1924,3926,1,6.206000328
7/30/1924,3832,1,6.377399921
7/31/1924,3500,1,6.534900188
8/1/1924,3168,1,6.366400242
8/2/1924,3074,1,6.15199995
8/3/1924,3035,1,5.855400085
8/4/1924,3015,1,5.389899731
8/5/1924,3003,1,5.032299995
8/6/1924,2996,1,4.704699516
8/7/1924,2991,1,4.720699787
8/8/1924,2988,1,5.377399921
8/9/1924,2985,1,5.689100266
8/10/1924,2983,1,6.353900433
8/11/1924,2982,1,7.045599937
8/12/1924,2981,1,7.571000099
8/13/1924,2980,1,7.813899994
8/14/1924,2980,1,7.686199665
8/15/1924,2979,1,7.19879961
8/16/1924,2979,1,6.492099762
8/17/1924,2978,1,6.060500145
8/18/1924,2978,1,5.056300163
8/19/1924,2978,1,4.524800301
8/20/1924,2978,1,3.926500082
8/21/1924,2977,1,3.95630002
8/22/1924,2977,1,4.149600029
8/23/1924,2977,1,4.161399841
8/24/1924,2977,1,4.565899849
8/25/1924,2977,1,5.015799999
8/26/1924,2977,1,5.417500019
8/27/1924,2978,1,5.770900249
8/28/1924,2978,1,6.11590004
8/29/1924,2979,1,6.122400284
8/30/1924,2981,1,6.039400101
8/31/1924,2989,1,5.714099884
9/1/1924,2997,0,5.265799999
9/2/1924,2999,0,5.010799885
9/3/1924,3000,0,4.860899925
9/4/1924,3000,0,5.090100288
9/5/1924,3000,0,5.345999718
9/6/1924,3001,0,5.667900085
9/7/1924,3001,0,5.76210022
9/8/1924,3001,0,6.137599945
9/9/1924,3001,0,6.515600204
9/10/1924,3001,0,6.74849987
9/11/1924,3001,0,6.721299648
9/12/1924,3001,0,6.484099865
9/13/1924,3001,0,5.985099792
9/14/1924,3001,0,5.313300133
9/15/1924,3001,0,4.916699886
9/16/1924,3001,0,4.586699486
9/17/1924,3001,0,4.481200218
9/18/1924,3001,0,4.21239996
9/19/1924,3001,0,4.023099899
9/20/1924,3001,0,3.933300018
9/21/1924,3001,0,4.011700153
9/22/1924,3001,0,4.02670002
9/23/1924,3001,0,4.422500134
9/24/1924,3001,0,4.861299992
9/25/1924,3000,0,5.209700108
9/26/1924,3000,0,5.420499802
9/27/1924,3000,0,5.440500259
9/28/1924,2999,0,5.254700184
9/29/1924,2998,0,5.310299873
9/30/1924,2991,0,5.834100246
10/1/1924,2985,0,6.12650013
10/2/1924,2983,0,6.124399662
10/3/1924,2983,0,5.984499931
10/4/1924,2982,0,5.768000126
10/5/1924,2982,0,5.555600166
10/6/1924,2982,0,5.479399681
10/7/1924,2983,0,5.548999786
10/8/1924,2983,0,5.590499878
10/9/1924,2983,0,5.577600002
10/10/1924,2984,0,5.552899837
10/11/1924,2984,0,5.325399876
10/12/1924,2985,0,5.417600155
10/13/1924,2986,0,5.452600002
10/14/1924,2987,0,5.535099983
10/15/1924,2988,0,5.338299751
10/16/1924,2990,0,5.109999657
10/17/1924,2992,0,4.723599911
10/18/1924,2995,0,4.368100166
10/19/1924,2998,0,4.042900085
10/20/1924,3002,0,3.843699932
10/21/1924,3007,0,3.827600002
10/22/1924,3014,0,3.930700064
10/23/1924,3024,0,4.315199852
10/24/1924,3037,0,4.637800217
10/25/1924,3055,0,4.822799683
10/26/1924,3083,0,5.426799774
10/27/1924,3128,0,6.158699989
10/28/1924,3205,0,6.947099686
10/29/1924,3356,0,7.314099789
10/30/1924,3719,0,7.424200058
10/31/1924,5000,0,7.215600014
11/1/1924,6258,0,6.732299805
11/2/1924,6605,0,6.111199856
11/3/1924,6747,0,5.477300167
11/4/1924,6819,0,5.121399879
11/5/1924,6860,0,5.150700092
11/6/1924,6886,0,5.38380003
11/7/1924,6903,0,5.268800259
11/8/1924,6915,0,5.334000111
11/9/1924,6923,0,5.847199917
11/10/1924,6929,0,6.03180027
11/11/1924,6934,0,6.184700012
11/12/1924,6937,0,6.169199944
11/13/1924,6940,0,5.975999832
11/14/1924,6942,0,5.753499985
11/15/1924,6943,0,5.381299973
11/16/1924,6944,0,4.855600357
11/17/1924,6945,0,4.384900093
11/18/1924,6945,0,3.990800142
11/19/1924,6944,0,4.045400143
11/20/1924,6943,0,4.154399872
11/21/1924,6941,0,4.271900177
11/22/1924,6939,0,4.644399643
11/23/1924,6935,0,5.406199932
11/24/1924,6929,0,6.48390007
11/25/1924,6920,0,7.442800045
11/26/1924,6906,0,8.076200485
11/27/1924,6881,0,8.425999641
11/28/1924,6831,0,8.310700417
11/29/1924,6709,0,7.792200089
11/30/1924,6267,0,6.988999844
12/1/1924,5817,0,6.042500019
12/2/1924,5689,0,5.375100136
12/3/1924,5636,0,5.079100132
12/4/1924,5609,0,4.810599804
12/5/1924,5594,0,4.882200241
12/6/1924,5584,0,5.266999722
12/7/1924,5577,0,5.784699917
12/8/1924,5573,0,6.170899868
12/9/1924,5570,0,6.372200012
12/10/1924,5567,0,6.539899826
12/11/1924,5566,0,6.522199631
